track_id,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,umur,calm,energic,sad,happy
6Yhc33OBahJnAYQfCzOn3W,Semua Oke,Trio Kwek-Kwek,0.483,0.606,7,-11.202,1,0.341,0.722,6.26e-05,0.163,0.513,112.571,2716326,4,anak-anak,0,0,1,0
4aGeiGXf5lnLpVt9g3sU4e,Tari Samba,Trio Kwek-Kwek,0.506,0.78,1,-10.331,1,0.0592,0.0518,0.175,0.0633,0.709,127.684,272644,4,anak-anak,0,0,0,1
44jRJ024HM2C6FJ9yBR6Oe,Air,Trio Kwek-Kwek,0.655,0.729,6,-11.094,1,0.0334,0.00183,0.000212,0.282,0.887,136.015,251869,4,anak-anak,1,0,0,1
4lDPGznfn0gwdJGlT6xXdf,Katanya,Trio Kwek-Kwek,0.791,0.936,4,-10.08,1,0.054,0.492,2.08e-05,0.174,0.974,139.46,230264,4,anak-anak,1,0,0,1
754wKGkw2pXIlIiFKjCORk,Mama Papa Bilang,Trio Kwek-Kwek,0.733,0.656,9,-10.378,0,0.0319,0.0871,8.91e-06,0.313,0.709,109.757,278440,4,anak-anak,1,0,0,0
0fW6qqzoLciSuK2gBY3G3K,Belajar Itu Perlu,Leony,0.644,0.748,9,-8.557,1,0.0313,0.0926,0.0,0.229,0.695,93.651,218819,4,anak-anak,1,0,0,0
5yHv2YJNxfEeJXBCMvOcwA,Bolo-Bolo,Uthie,0.809,0.856,11,-15.241,0,0.0479,0.172,0.000659,0.281,0.948,132.02,257985,4,anak-anak,1,0,0,1
5kvYd4F51Hs39XLaNkHgE4,Aku Cinta Rupiah,Cindy Cenora,0.636,0.852,10,-8.57,1,0.0498,0.345,5.52e-06,0.381,0.794,142.243,229627,4,anak-anak,1,0,0,1
0mhcp9n5H4U9ycDBm9jKFk,Ini Indonesiaku,Cindy Cenora,0.571,0.908,7,-7.568,1,0.0829,0.587,0.00139,0.531,0.877,153.897,176010,4,anak-anak,1,0,0,1
5zfpsVlLOthGeeBrRHduBd,Pulanglah Papa,Cindy Cenora,0.482,0.486,7,-8.918,1,0.0268,0.0791,0.00185,0.483,0.198,146.768,291429,4,anak-anak,1,0,1,1
